timestamp,session_id,function,phase,duration_sec
2025-11-17 01:39:28.870557,jl8f7k,client,update_english,0.017663
2025-11-17 01:39:28.889264,jl8f7k,websocket_endpoint,receive,4.65799
2025-11-17 01:39:33.547254,jl8f7k,client,update_english,0.015835
2025-11-17 01:39:33.563089,jl8f7k,websocket_endpoint,receive,2.899316
2025-11-17 01:39:36.463369,jl8f7k,client,update_english,0.007241
2025-11-17 01:39:36.471614,jl8f7k,websocket_endpoint,receive,8.162127
2025-11-17 01:39:44.634797,jl8f7k,client,update_english,0.009826
2025-11-17 01:39:44.645673,jl8f7k,websocket_endpoint,receive,5.314266
2025-11-17 01:39:49.962309,jl8f7k,client,update_english,0.021412
2025-11-17 01:39:49.984824,jl8f7k,websocket_endpoint,receive,31.295967
2025-11-17 01:40:21.280791,jl8f7k,client,update_english,0.015511
2025-11-17 01:40:21.297318,jl8f7k,websocket_endpoint,receive,31.582249
2025-11-17 01:40:52.880503,jl8f7k,client,update_english,0.018257
2025-11-17 01:40:52.899758,jl8f7k,websocket_endpoint,receive,16.77443
2025-11-17 01:41:09.675189,jl8f7k,client,update_english,0.016177
2025-11-17 01:41:09.691366,jl8f7k,websocket_endpoint,receive,2.982992
2025-11-17 01:41:12.675659,jl8f7k,client,update_english,0.02153
2025-11-17 01:41:12.698322,jl8f7k,websocket_endpoint,receive,13.166131
2025-11-17 01:41:25.865528,jl8f7k,client,update_english,0.015993
2025-11-17 01:41:25.882576,jl8f7k,websocket_endpoint,receive,14.172637
2025-11-17 01:41:40.056210,jl8f7k,client,update_english,0.018204
2025-11-17 01:41:40.075415,jl8f7k,websocket_endpoint,receive,17.396101
2025-11-17 01:41:57.472573,jl8f7k,client,update_english,0.013008
2025-11-17 01:41:57.486631,jl8f7k,websocket_endpoint,receive,13.189279
2025-11-17 01:42:10.675910,jl8f7k,client,update_english,0.025377
2025-11-17 01:42:13.232945,jl8f7k,websocket_endpoint,receive,0.000959
2025-11-17 01:42:10.701287,jl8f7k,websocket_endpoint,receive,2.67431
2025-11-17 01:42:13.376573,jl8f7k,client,update_english,0.0
2025-11-17 01:42:13.233903,jl8f7k,websocket_endpoint,receive,2.083815
2025-11-17 01:42:15.340721,jl8f7k,websocket_endpoint,receive,0.003005
2025-11-17 01:42:15.343726,jl8f7k,client,update_english,0.008029
2025-11-17 01:42:15.318720,jl8f7k,punctuate,update_punctuated,0.034008
2025-11-17 01:42:15.353730,jl8f7k,punctuate,flush_buffer,0.012584
2025-11-17 01:42:15.367263,jl8f7k,websocket_endpoint,receive,0.0
2025-11-17 01:42:15.390305,jl8f7k,websocket_endpoint,receive,0.0
2025-11-17 01:42:20.348857,jl8f7k,websocket_endpoint,receive,0.001229
2025-11-17 01:42:20.352099,jl8f7k,websocket_endpoint,receive,0.132781
